FL_DATE,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
2020-02-20,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,1816,BUR,"Burbank, CA",SMF,"Sacramento, CA",1915,1909.0,-6.0,13.0,1922.0,2015.0,2.0,2035,2017.0,-18.0,0.0,,0.0,80.0,68.0,53.0,358.0,,,,,
2019-01-28,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2065,LGA,"New York, NY",ORD,"Chicago, IL",815,1112.0,177.0,41.0,1153.0,1251.0,12.0,951,1303.0,192.0,0.0,,0.0,156.0,171.0,118.0,733.0,0.0,0.0,192.0,0.0,0.0
2020-05-15,Frontier Airlines Inc.,Frontier Airlines Inc.: F9,F9,20436,404,LAX,"Los Angeles, CA",DEN,"Denver, CO",1040,1036.0,-4.0,10.0,1046.0,1339.0,7.0,1412,1346.0,-26.0,0.0,,0.0,152.0,130.0,113.0,862.0,,,,,
2022-06-20,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2420,ATL,"Atlanta, GA",MDW,"Chicago, IL",625,624.0,-1.0,7.0,631.0,659.0,4.0,715,703.0,-12.0,0.0,,0.0,110.0,99.0,88.0,591.0,,,,,
2023-06-19,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,765,BWI,"Baltimore, MD",ORD,"Chicago, IL",1505,1542.0,37.0,10.0,1552.0,1628.0,15.0,1620,1643.0,23.0,0.0,,0.0,135.0,121.0,96.0,622.0,5.0,0.0,0.0,0.0,18.0
2022-07-15,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,607,MSY,"New Orleans, LA",CLT,"Charlotte, NC",1821,1852.0,31.0,13.0,1905.0,2136.0,9.0,2123,2145.0,22.0,0.0,,0.0,122.0,113.0,91.0,651.0,2.0,0.0,0.0,0.0,20.0
2019-12-26,Mesa Airlines Inc.,Mesa Airlines Inc.: YV,YV,20378,5759,DFW,"Dallas/Fort Worth, TX",ICT,"Wichita, KS",1632,1626.0,-6.0,12.0,1638.0,1726.0,5.0,1750,1731.0,-19.0,0.0,,0.0,78.0,65.0,48.0,328.0,,,,,
2019-04-04,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,715,MCO,"Orlando, FL",IAH,"Houston, TX",2030,2055.0,25.0,11.0,2106.0,2226.0,7.0,2216,2233.0,17.0,0.0,,0.0,166.0,158.0,140.0,854.0,17.0,0.0,0.0,0.0,0.0
2019-06-21,JetBlue Airways,JetBlue Airways: B6,B6,20409,160,PHL,"Philadelphia, PA",BOS,"Boston, MA",1048,1036.0,-12.0,29.0,1105.0,1158.0,5.0,1215,1203.0,-12.0,0.0,,0.0,87.0,87.0,53.0,280.0,,,,,
2021-12-06,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,27,DAL,"Dallas, TX",HOU,"Houston, TX",1300,1307.0,7.0,50.0,1357.0,1449.0,3.0,1410,1452.0,42.0,0.0,,0.0,70.0,105.0,52.0,239.0,0.0,0.0,42.0,0.0,0.0
