model,n_clusters,silhouette_score,davies_bouldin_score,inertia
KMeans,2,0.2517848014831543,1.6877872603151627,1145052.25
KMeans,5,0.14559677243232727,1.665215591772562,881345.0
KMeans,6,0.13872261345386505,1.903367245586291,842798.3125
KMeans,4,0.13799381256103516,1.8387731123726407,953191.9375
KMeans,3,0.13588690757751465,2.183762625953969,1022442.375
