cluster,DOT_CODE,FL_NUMBER,CRS_DEP_TIME,CRS_ARR_TIME,CRS_ELAPSED_TIME,DISTANCE,departure_hour,is_peak_hour,is_night_flight,is_long_flight,FL_DATE,AIRLINE,ORIGIN,DEST,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,flight_speed_est,route_frequency,DISTANCE_x_departure_hour,DISTANCE_x_flight_speed_est,departure_hour_x_flight_speed_est
0,0.014974172,0.09541594,0.7913053,0.69755703,-0.29694104,-0.29628608,0.791397,-0.07659738,-0.16058742,-0.36888972,0.0020287563,0.048063826,-0.036210503,-0.005862722,-0.3452852,0.7764638,0.122101486,-0.113739856,-0.1095696,0.04396913,-0.017782291,0.07029733,0.018000353,-0.23844309,-0.08084845,0.036027685
1,0.04710198,0.09784228,-0.84576917,-0.7417468,-0.26300728,-0.2778099,-0.8448504,0.119094715,-0.16058742,-0.36888972,-0.013353383,0.017184284,-0.018721221,-0.036656607,-0.27440634,-0.80688775,-0.03312635,-0.021688284,0.31980276,-0.18990354,0.029570078,0.047331084,0.015991917,0.22847831,-0.06003791,-0.024242686
2,-0.21769255,-0.70801735,0.08917802,0.054814313,2.1012065,2.1427724,0.088978164,0.06918975,-0.16058742,2.7108374,0.020058969,-0.2522664,0.2000867,0.19580272,2.301927,0.21172726,-0.3262073,0.61378825,-0.011558955,0.12335166,0.04639569,0.052226003,-0.12906992,0.20599714,0.030411884,-0.000562458
3,0.6012445,0.5870303,0.09446303,-0.07245205,-0.99668074,-1.0037442,0.0989704,-0.0534517,-0.03384682,-0.36888972,-0.0704026,-0.18435003,-0.17302845,-0.1566786,-0.9163453,0.018730642,0.028138455,0.31858817,-0.16028969,-0.25578892,0.050979145,-11.669519,-0.15183969,-0.07193522,11.708566,-0.9983009
4,-0.11867799,-0.10315847,-1.7485443,-1.4588648,-0.019092465,0.008210015,-1.7645981,-0.7680994,6.2271385,-0.0072923703,0.092423975,0.06048051,0.060865883,-0.19997463,0.09641242,-2.6410887,-0.21167812,-0.49519333,-2.9071705,1.641632,-0.36272138,0.06995936,0.05103388,-0.1377674,-0.07018546,-0.07969997
