cluster,DOT_CODE,FL_NUMBER,CRS_DEP_TIME,CRS_ARR_TIME,CRS_ELAPSED_TIME,DISTANCE,departure_hour,is_peak_hour,is_night_flight,is_long_flight,FL_DATE,AIRLINE,ORIGIN,DEST,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,flight_speed_est,route_frequency,DISTANCE_x_departure_hour,DISTANCE_x_flight_speed_est,departure_hour_x_flight_speed_est
0,-0.21769255,-0.70801735,0.08917802,0.054814313,2.1012065,2.1427724,0.088978164,0.06918975,-0.16058742,2.7108374,0.020058969,-0.2522664,0.2000867,0.19580272,2.301927,0.21172726,-0.3262073,0.61378825,-0.011558955,0.12335166,0.04639569,0.052226003,-0.12906992,0.20599714,0.030411884,-0.000562458
1,-0.21242274,-0.5879788,0.50994337,0.4606378,-0.14021848,-0.13442686,0.50853574,-0.24720141,-0.16058742,-0.36888972,0.026988853,-1.0869352,-0.118858054,-0.1104957,-0.052785855,0.5293725,-0.12257758,-0.59242994,-0.5267028,-0.79780686,-0.0139553845,-0.021286162,0.37596932,-0.079812735,0.012938003,-0.040555395
2,-0.1169129,-0.100520395,-1.7482954,-1.4598758,-0.022981042,0.0040818173,-1.76413,-0.7680994,6.2271385,-0.008730706,0.09149704,0.060349062,0.059555467,-0.1955776,0.092865735,-2.641143,-0.21204612,-0.49407336,-2.9056711,1.64323,-0.36456847,0.022066247,0.04941674,-0.13078678,-0.021122182,-0.0026576042
3,-1.0637522,-0.38040748,0.5132036,0.42870006,-0.26798898,-0.21191953,0.51425016,-0.22687529,-0.16058742,-0.36888972,0.06331487,1.0065734,0.046571784,0.10590405,-0.16532344,0.4988653,0.19814691,-1.008637,0.2437515,0.8207753,-0.22741058,0.15976387,0.10049681,-0.11918205,-0.16030103,0.082297005
4,1.0415673,1.0777106,0.4540447,0.41782084,-0.46112737,-0.50834006,0.45318222,-0.2669074,-0.16058742,-0.36888972,-0.07960441,0.24831477,-0.038799487,-0.04522859,-0.72904694,0.4392214,0.18656196,1.0107261,-0.21565056,0.22478172,0.0872555,-0.10757923,-0.3847699,-0.22421643,0.0858699,-0.069718584
5,0.041386325,0.048931777,-1.1389291,-1.0103405,-0.24324332,-0.26569134,-1.1358688,0.6990624,-0.16058742,-0.36888972,-0.009190848,0.030293789,0.00037018786,-0.015677685,-0.2334645,-1.0952924,-0.05157125,-0.015928842,0.7963346,-0.40407878,0.110022746,-0.020848067,0.054886926,0.2976943,0.009597029,0.043919567
