cluster,DOT_CODE,FL_NUMBER,CRS_DEP_TIME,CRS_ARR_TIME,CRS_ELAPSED_TIME,DISTANCE,departure_hour,is_peak_hour,is_night_flight,is_long_flight,FL_DATE,AIRLINE,ORIGIN,DEST,PCA_1,PCA_2,PCA_3,PCA_4,PCA_5,PCA_6,PCA_7,flight_speed_est,route_frequency,DISTANCE_x_departure_hour,DISTANCE_x_flight_speed_est,departure_hour_x_flight_speed_est
0,0.017622031,0.09659784,0.7880313,0.69523287,-0.29629955,-0.29555267,0.7880641,-0.07901982,-0.16058742,-0.36888972,0.00016532607,0.047309127,-0.035765972,-0.0034476866,-0.3450175,0.77348876,0.12218567,-0.11095315,-0.110290565,0.044657893,-0.01998442,0.07010809,0.016717426,-0.237612,-0.080656506,0.035894223
1,0.034565553,0.089745544,-0.8944862,-0.7844883,-0.26132485,-0.2748736,-0.89439994,0.07478658,0.18349083,-0.36784545,-0.0055675823,0.02042342,-0.016317366,-0.048697494,-0.26778403,-0.9076198,-0.04173434,-0.055101316,0.1488394,-0.0941426,0.0106235705,0.048796024,0.019559335,0.23270845,-0.061309163,-0.027442709
2,-0.21272846,-0.70781916,0.036962688,0.0230792,2.0890994,2.133267,0.036347944,0.049594212,-0.01109199,2.7108374,0.02154104,-0.24557798,0.2018458,0.18798241,2.2963135,0.14168753,-0.32943898,0.6055979,-0.08059323,0.16304886,0.038435206,0.052212387,-0.12572044,0.11838169,0.030098189,-0.001980459
3,0.6012445,0.5870303,0.09446303,-0.07245205,-0.99668074,-1.0037442,0.0989704,-0.0534517,-0.03384682,-0.36888972,-0.0704026,-0.18435003,-0.17302845,-0.1566786,-0.9163453,0.018730642,0.028138455,0.31858817,-0.16028969,-0.25578892,0.050979145,-11.669519,-0.15183969,-0.07193522,11.708566,-0.9983009
